Algorithms,MSE,mean  AE,r2,median AE,evs
LinearRegression,7964.50304216,21.3003766729,-0.0035145104,10.139993781,-0.0002439683
Ridge,7926.78642127,21.0918167895,0.0012377228,9.8493178526,0.004354928
Lasso,7873.03938836,20.1833600933,0.0080097621,10.071652727,0.0106119794
ElasticNet,7873.45717366,20.1988445539,0.0079571218,9.9185667538,0.0105751521
BaggingRegressor,8681.09165618,25.4699871795,-0.0938035176,9.1835,-0.0934170801
RandomForest,8326.92029501,23.6240982906,-0.0491784985,6.2845,-0.0491784929
ExtraTreesRegressor,8673.0841135,24.7257051282,-0.0927945802,8.5525,-0.0922105331
KNeighborsRegressor,7879.97608874,20.0611410256,0.0071357491,5.732,0.0107149318
DecisionTreeRegressor,11481.2090481,31.0503205128,-0.4466137832,4.42,-0.4415053774
MLPRegressor,7949.430377,19.2221647853,-0.001615379,8.4215091384,0.0027887563
SVR,8146.50749542,15.2871815559,-0.0264467774,0.9974149856,-0.0002233529
