algorithm,mean_squared_error,mean_absolute_error,r2_score,median_absolute_error,explained_variance_score
svr,27.5894059335,3.2746635558,0.0266504244,2.4165480771,0.0313643167
lasso,23.6843796426,3.7916227533,0.0121704729,3.3825165898,0.0508292158
mlp,25.1876431185,2.928311124,-0.0505277304,1.4907089566,0.0038329148
random forest,17.4244748216,2.4256326034,-0.2200332964,0.9083333333,0.0033341396
,,,,,
,,,,,
svr,8146,15.3,-0.0264467774,0.9974149856,-0.0002233529
lasso,7873,20.18,0.0080097621,10.071652727,0.0106119794
mlp,7949,19.2,-0.001615379,8.4215091384,0.0027887563
random forest,8326,23.62,-0.0491784985,6.2845,-0.0491784929
,,,,,
,result,default,,,
svr,0.0313643167,-0.0002233529,,,
lasso,0.0508292158,0.0106119794,,,
mlp,0.0038329148,0.0027887563,,,
random forest,0.0033341396,-0.0491784929,,,
,,,,,
,,,,,
algorithm,,,,,
SVR,27.5894059335,7873,,,
lasso,23.6843796426,8326,,,
mlp,25.1876431185,7949,,,
random forest,17.4244748216,8146,,,
